"filename", "language", "Python", "Log", "CSV", "JSON", "YAML", "comment", "blank", "total"
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_14-34-04_main_app.log", "Log", 0, 81, 0, 0, 0, 0, 1, 82
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_14-43-21_main_app.log", "Log", 0, 141, 0, 0, 0, 0, 1, 142
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_14-47-42_main_app.log", "Log", 0, 82, 0, 0, 0, 0, 1, 83
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-42-42_main_app.log", "Log", 0, 24, 0, 0, 0, 0, 1, 25
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-45-54_main_app.log", "Log", 0, 29, 0, 0, 0, 0, 1, 30
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-46-40_main_app.log", "Log", 0, 29, 0, 0, 0, 0, 1, 30
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-46-57_main_app.log", "Log", 0, 29, 0, 0, 0, 0, 1, 30
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-54-55_main_app.log", "Log", 0, 30, 0, 0, 0, 0, 1, 31
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-56-14_main_app.log", "Log", 0, 31, 0, 0, 0, 0, 1, 32
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-58-29_main_app.log", "Log", 0, 32, 0, 0, 0, 0, 1, 33
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-59-19_main_app.log", "Log", 0, 32, 0, 0, 0, 0, 1, 33
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_15-59-55_main_app.log", "Log", 0, 33, 0, 0, 0, 0, 1, 34
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_16-00-26_main_app.log", "Log", 0, 1066, 0, 0, 0, 0, 1, 1067
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_16-01-41_main_app.log", "Log", 0, 25, 0, 0, 0, 0, 1, 26
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_16-04-23_main_app.log", "Log", 0, 25, 0, 0, 0, 0, 1, 26
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_16-44-29_main_app.log", "Log", 0, 26, 0, 0, 0, 0, 1, 27
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_16-45-51_main_app.log", "Log", 0, 29, 0, 0, 0, 0, 1, 30
"e:\KPI_HOSTING - V2.1\logs\03-09-2025_16-46-20_main_app.log", "Log", 0, 29, 0, 0, 0, 0, 1, 30
"e:\KPI_HOSTING - V2.1\logs\12-08-2025_11-57-27_main_app.log", "Log", 0, -11, 0, 0, 0, 0, -1, -12
"e:\KPI_HOSTING - V2.1\logs\12-08-2025_14-26-59_main_app.log", "Log", 0, -4, 0, 0, 0, 0, -1, -5
"e:\KPI_HOSTING - V2.1\logs\12-08-2025_14-27-53_main_app.log", "Log", 0, -4, 0, 0, 0, 0, -1, -5
"e:\KPI_HOSTING - V2.1\logs\12-08-2025_14-29-10_main_app.log", "Log", 0, -4, 0, 0, 0, 0, -1, -5
"e:\KPI_HOSTING - V2.1\main.py", "Python", -17, 0, 0, 0, 0, 0, -6, -23
"e:\KPI_HOSTING - V2.1\utils\data_normalizer.py", "Python", 6, 0, 0, 0, 0, 19, 8, 33
"e:\KPI_HOSTING - V2.1\utils\normalization_strategies.py", "Python", 62, 0, 0, 0, 0, -19, 13, 56
"e:\KPI_HOSTING - V2.1\workers\__init__.py", "Python", -2, 0, 0, 0, 0, 0, 0, -2
"e:\KPI_HOSTING - V2.1\workers\api_worker.py", "Python", -46, 0, 0, 0, 0, -46, -10, -102
"e:\KPI_HOSTING - V2.1\workers\server_agents_worker.py", "Python", 31, 0, 0, 0, 0, 21, 10, 62
"e:\KPI_HOSTING - V2.1\workers\server_db_worker.py", "Python", 28, 0, 0, 0, 0, 18, 6, 52
"e:\KPI_HOSTING - V2.1\workers\server_worker.py", "Python", 15, 0, 0, 0, 0, -1, 4, 18
"Total", "-", 1076, 1750, 507, 144389, 48, -47, 297, 148020
