"Name","Key"
"DC-VCFRA-P-GCF-GSU","dvportgroup-121215"
"sof-PPD-seg","dvportgroup-121207"
"DC-VCEA-P-HEARTBEAT","dvportgroup-121216"
"DC-VCFRA-H-MAG","dvportgroup-121219"
"DC-VCFRA-P-RES","dvportgroup-121218"
"DC-VCFRA-P-BAT-BSE","dvportgroup-121220"
"ngdt2-wkld01-lin01-vds01-pg-bck","dvportgroup-611254"
"DC-VCFRA-P-ROF-RCO","dvportgroup-121225"
"DC-VCFRA-P-LEG-BACK","dvportgroup-121226"
"DC-VCFRA-P-FRONT","dvportgroup-121224"
"DC-VCFRA-P-ROF-RSU","dvportgroup-121232"
"Surebckp-VirtualLab-LIN-PA3","key-vim.host.PortGroup-Surebckp-VirtualLab-LIN-PA3"
"Surebckp-VirtualLab-LIN-PA4","key-vim.host.PortGroup-Surebckp-VirtualLab-LIN-PA4"
"seg-khe-ppd-ngdt2-1","dvportgroup-768598"
"seg-res-ppd-ngdt2-1","dvportgroup-768591"
"seg-res-prd-ngdt2-1","dvportgroup-762994"
"DC-VCFRA-Z-BACK","dvportgroup-31049"
"seg-lan-prd-ngdt2-1","dvportgroup-162880"
"DC-VCFRA-P-FRONT","dvportgroup-31017"
"NSX-S_VCSI_PRD_VC_SI_5015","dvportgroup-152260"
"DC-VIC-E-PRD-APP-3301","dvportgroup-163452"
"DC-VIC-E-PRD-BACK-3302","dvportgroup-163460"
"DC-VCFRA-P-ADMINISTRATION","dvportgroup-31033"
"seg-khe-hpr-ngdt2-1","dvportgroup-768603"
"DC-VIC-E-TST-BACK-3202","dvportgroup-163480"
"test-kevin-nsx-bgp-seg01","dvportgroup-646201"
"DC-VIC-E-NSX-PRD","dvportgroup-662449"
"vgp-PROD-seg","dvportgroup-86233"
"seg-dmz-prd-ngdt2-1","dvportgroup-164332"
"DC-VIC-E-NSX-VC-S-5034","dvportgroup-163461"
"seg-lan-hpr-ngdt2-1","dvportgroup-164326"
"seg-dmz-hpr-ngdt2-1","dvportgroup-164329"
"seg-dmz-ppd-ngdt2-1","dvportgroup-164323"
"DC-VIC-E-DEV-BACK-3152","dvportgroup-163458"
"DC-VIC-E-DEV-FRONT-3150","dvportgroup-163481"
"DC-VCFRA-P-LEG-APP","dvportgroup-57305"
"seg-khe-prd-ngdt2-1","dvportgroup-762991"
"NSX-S_VCSI_PRD_VC_SI_5","dvportgroup-163464"
"DC-VCFRA-P-RES","dvportgroup-58765"
"DC-VCFRA-P-BAT-OFR","dvportgroup-75782"
"DC-VCFRA-P-GCF-GOU","dvportgroup-75848"
"DC-VIC-E-TST-FRONT-3200","dvportgroup-163459"
"DC-VCFRA-P-HLD-COM","dvportgroup-75854"
"DC-VCFRA-P-GCF-GSU","dvportgroup-75852"
"DC-VCFRA-P-HEARTBEAT","dvportgroup-58767"
"DC-VCFRA-P-LEG-INFRA","dvportgroup-57306"
"DC-VIN-PROD-5031","dvportgroup-119892"
"NSX-S_VCSI_PRD_POC-VPN","dvportgroup-53840"
"NSX-S_SIDT_PRD","dvportgroup-56039"
"DC-VCFRA-P-BAT-BNE","dvportgroup-54756"
"DC-VCFRA-P-BAT-BSO","dvportgroup-75840"
"NSX-S_VCSI_PRD_INF_NETWORK","dvportgroup-53844"
"DC-VCFRA-P-BAT-BSE","dvportgroup-75760"
"DC-VCFRA-H-RES","dvportgroup-44210"
"DC-VCFRA-H-FRONT","dvportgroup-23908"
"DC-VIN-DMZ-5076","dvportgroup-18599"
"DC-VCFRA-P-REF-DER","dvportgroup-75844"
"HCX-TMP-DMZ-VIN","dvportgroup-18592"
"DC-VCFRA-P-DPL-WINDOWS","dvportgroup-48029"
"DC-VCFRA-P-ROF-RIN","dvportgroup-75772"
"sof-PRD-seg","dvportgroup-3129"
"DC-VCFRA-P-TOIP","dvportgroup-31027"
"ngdt2-wkld01-win-DVUplinks-10","dvportgroup-11"
"DC-VCFRA-REG-DHCP","dvportgroup-44268"
"L2E_VIC-E-PRD-FRONT-3300-ee364f6b","dvportgroup-163479"
"DC-VCFRA-Z-FRONT","dvportgroup-31051"
"DC-VCFRA-P-BACK","dvportgroup-31013"
"vgp-DMZ-Mid-seg","dvportgroup-86229"
"L2E_L2-VIC-E-TST-FRON-5017-ee364f6b","dvportgroup-236"
"ngdt2-wkld01-win-DVUplinks-12","dvportgroup-13"
"ngdt2-wkld01-win-vds01-pg-hcx-uplink","dvportgroup-177"
"DC-VIC-E-NSX-DMZ-5037","dvportgroup-158237"
"Seg_VCSI-TEST","dvportgroup-82"
"DC-VIC-E-PPD-FRONT-3250","dvportgroup-163462"
"ngdt2-wkld01-win01-vds01-pg-bck","dvportgroup-286"
"DC-VCFRA-P-BACKUP-REPLI","dvportgroup-75856"
"sof-DEV-seg","dvportgroup-17601"
"DC-VCFRA-P-GCF-GSF","dvportgroup-75850"
"DC-VCFRA-P-ROF-RSU","dvportgroup-75778"
"seg-lan-ppd-ngdt2-1","dvportgroup-164320"
"DC-VCFRA-P-BAT-ANS","dvportgroup-75786"
"DC-VCFRA-P-LEG-CLIENT","dvportgroup-57303"
"ngdt2-wkld01-win01-vds01-pg-mgmt-DVPG","dvportgroup-702320"
"ngdt2-wkld01-win01-vds01-pg-2019","dvportgroup-512058"
"DC-VIC-E-NSX-DMZ-5038","dvportgroup-182651"
"ngdt2-wkld01-win01-vds01-pg-mgmt","dvportgroup-14"
"DC-VCFRA-H-MAG","dvportgroup-26551"
"DC-VCFRA-P-ROF-RCO","dvportgroup-75768"
"ngdt2-wkld01-win01-vds01-pg-VIC-E-INF-FRONT","dvportgroup-512052"
"DC-VCFRA-P-ROF-RCE","dvportgroup-75774"
"DC-VCFRA-H-BACK","dvportgroup-26550"
"VCF-edge_ngdt2-wkld01-ec1_PG-ngdt2-wkld01-win01-vds02-External-1","dvportgroup-669898"
"edge_ngdt2-wkld01-ec01_PG-ngdt2-wkld01-cl01-vds02-External-2","dvportgroup-43"
"DC-VCFRA-D-BACK","dvportgroup-31011"
"DC-VIC-E-NSX-VC-S-5033","dvportgroup-163453"
"DC-VCEA-P-HEARTBEAT","dvportgroup-92301"
"test-kevin-nsx-bgp-seg02","dvportgroup-655093"
"DC-VCFRA-P-BAT-BCE","dvportgroup-75758"
"DC-VCFRA-P-LEG-BACK","dvportgroup-57309"
"DC-VCFRA-P-REF-R2T","dvportgroup-60235"
"sof-PPD-seg","dvportgroup-17603"
"DC-VCFRA-P-GCF-GCE","dvportgroup-75846"
"DC-VIC-E-PPD-BACK-3252","dvportgroup-163463"
"DC-VIC-E-NSX-DMZ-5051","dvportgroup-178167"
"DC-VCFRA-P-REF-RTF","dvportgroup-75842"
"sof-DMZ-seg","dvportgroup-3368"
"DC-VCFRA-D-FRONT","dvportgroup-31009"
"DC-VCFRA-H-APPS","dvportgroup-26549"
"vgp-DMZ-Front-seg","dvportgroup-86227"
"DC-VCFRA-REG-07-BACK","dvportgroup-31031"
"DC-VCFRA-P-REF-RHY","dvportgroup-47163"
"DC-VCFRA-P-GCF-GIN","dvportgroup-75764"
"vgp-DMZ-Back-seg","dvportgroup-86231"
