2025-09-04 14:58:59,954 - root - INFO - Configuration de logging chargée avec succès.
2025-09-04 14:58:59,955 - main - INFO - Application démarrée
2025-09-04 14:59:00,135 - agents.agent_manager - INFO - Démarrage de la collecte et du traitement en parallèle...
2025-09-04 14:59:00,136 - workers.server_agents_worker - INFO - Démarrage de la collecte et du traitement pour la source : CHECKMK - VIC-T1
2025-09-04 14:59:00,136 - workers.server_agents_worker - INFO - Démarrage de la collecte et du traitement pour la source : CHECKMK - VIC-T0
2025-09-04 14:59:00,137 - workers.server_agents_worker - INFO - Démarrage de la collecte et du traitement pour la source : CHECKMK - OXYA-T0
2025-09-04 14:59:00,137 - workers.server_agents_worker - INFO - Démarrage de la collecte et du traitement pour la source : GLPI - GLPI-VCSI
2025-09-04 14:59:00,615 - CHECKMK - OXYA-T0 - INFO - Normalisation terminée. 31 serveurs normalisés.
2025-09-04 14:59:00,615 - workers.server_agents_worker - INFO - Collecte terminée : 31 serveurs trouvés pour la source : CHECKMK - OXYA-T0
2025-09-04 14:59:00,836 - GLPI - GLPI-VCSI - INFO - Normalisation terminée. 1038 serveurs normalisés.
2025-09-04 14:59:00,837 - workers.server_agents_worker - INFO - Collecte terminée : 1038 serveurs trouvés pour la source : GLPI - GLPI-VCSI
2025-09-04 14:59:01,019 - CHECKMK - VIC-T0 - INFO - Normalisation terminée. 92 serveurs normalisés.
2025-09-04 14:59:01,019 - workers.server_agents_worker - INFO - Collecte terminée : 92 serveurs trouvés pour la source : CHECKMK - VIC-T0
2025-09-04 14:59:01,318 - CHECKMK - VIC-T1 - INFO - Normalisation terminée. 955 serveurs normalisés.
2025-09-04 14:59:02,117 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=21, agent_id=2)>, <ServerHasAgent(server_id=21, agent_id=5)>, <ServerHasAgent(server_id=21, agent_id=3)>]
2025-09-04 14:59:02,140 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=22, agent_id=2)>, <ServerHasAgent(server_id=22, agent_id=5)>, <ServerHasAgent(server_id=22, agent_id=3)>]
2025-09-04 14:59:02,165 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=23, agent_id=2)>, <ServerHasAgent(server_id=23, agent_id=5)>, <ServerHasAgent(server_id=23, agent_id=3)>]
2025-09-04 14:59:02,192 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=24, agent_id=2)>, <ServerHasAgent(server_id=24, agent_id=5)>, <ServerHasAgent(server_id=24, agent_id=3)>]
2025-09-04 14:59:02,221 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=25, agent_id=2)>, <ServerHasAgent(server_id=25, agent_id=5)>, <ServerHasAgent(server_id=25, agent_id=3)>]
2025-09-04 14:59:02,247 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=26, agent_id=2)>, <ServerHasAgent(server_id=26, agent_id=5)>, <ServerHasAgent(server_id=26, agent_id=3)>]
2025-09-04 14:59:02,274 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=27, agent_id=2)>, <ServerHasAgent(server_id=27, agent_id=5)>, <ServerHasAgent(server_id=27, agent_id=3)>]
2025-09-04 14:59:02,300 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=28, agent_id=2)>, <ServerHasAgent(server_id=28, agent_id=5)>, <ServerHasAgent(server_id=28, agent_id=3)>]
2025-09-04 14:59:02,332 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=29, agent_id=2)>, <ServerHasAgent(server_id=29, agent_id=5)>, <ServerHasAgent(server_id=29, agent_id=3)>]
2025-09-04 14:59:02,362 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=30, agent_id=2)>, <ServerHasAgent(server_id=30, agent_id=5)>, <ServerHasAgent(server_id=30, agent_id=3)>]
2025-09-04 14:59:02,390 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=31, agent_id=2)>, <ServerHasAgent(server_id=31, agent_id=5)>, <ServerHasAgent(server_id=31, agent_id=3)>]
2025-09-04 14:59:02,415 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=32, agent_id=2)>, <ServerHasAgent(server_id=32, agent_id=5)>, <ServerHasAgent(server_id=32, agent_id=3)>]
2025-09-04 14:59:02,447 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=33, agent_id=2)>, <ServerHasAgent(server_id=33, agent_id=5)>, <ServerHasAgent(server_id=33, agent_id=3)>]
2025-09-04 14:59:02,475 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=34, agent_id=2)>, <ServerHasAgent(server_id=34, agent_id=5)>, <ServerHasAgent(server_id=34, agent_id=3)>]
2025-09-04 14:59:02,500 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=35, agent_id=2)>, <ServerHasAgent(server_id=35, agent_id=5)>, <ServerHasAgent(server_id=35, agent_id=3)>]
2025-09-04 14:59:02,526 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=36, agent_id=2)>, <ServerHasAgent(server_id=36, agent_id=5)>, <ServerHasAgent(server_id=36, agent_id=3)>]
2025-09-04 14:59:02,558 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=37, agent_id=2)>, <ServerHasAgent(server_id=37, agent_id=5)>, <ServerHasAgent(server_id=37, agent_id=3)>]
2025-09-04 14:59:02,583 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=38, agent_id=2)>, <ServerHasAgent(server_id=38, agent_id=5)>, <ServerHasAgent(server_id=38, agent_id=3)>]
2025-09-04 14:59:02,615 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=39, agent_id=2)>, <ServerHasAgent(server_id=39, agent_id=5)>, <ServerHasAgent(server_id=39, agent_id=3)>]
2025-09-04 14:59:02,643 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=40, agent_id=2)>, <ServerHasAgent(server_id=40, agent_id=5)>, <ServerHasAgent(server_id=40, agent_id=3)>]
2025-09-04 14:59:02,670 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=41, agent_id=2)>, <ServerHasAgent(server_id=41, agent_id=5)>, <ServerHasAgent(server_id=41, agent_id=3)>]
2025-09-04 14:59:02,707 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=42, agent_id=2)>, <ServerHasAgent(server_id=42, agent_id=5)>, <ServerHasAgent(server_id=42, agent_id=3)>]
2025-09-04 14:59:02,755 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=43, agent_id=2)>, <ServerHasAgent(server_id=43, agent_id=5)>, <ServerHasAgent(server_id=43, agent_id=3)>]
2025-09-04 14:59:02,783 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=44, agent_id=2)>, <ServerHasAgent(server_id=44, agent_id=5)>, <ServerHasAgent(server_id=44, agent_id=3)>]
2025-09-04 14:59:02,812 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=45, agent_id=2)>, <ServerHasAgent(server_id=45, agent_id=5)>, <ServerHasAgent(server_id=45, agent_id=3)>]
2025-09-04 14:59:02,843 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=46, agent_id=2)>, <ServerHasAgent(server_id=46, agent_id=5)>, <ServerHasAgent(server_id=46, agent_id=3)>]
2025-09-04 14:59:02,876 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=47, agent_id=2)>, <ServerHasAgent(server_id=47, agent_id=5)>, <ServerHasAgent(server_id=47, agent_id=3)>]
2025-09-04 14:59:02,903 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=48, agent_id=2)>, <ServerHasAgent(server_id=48, agent_id=5)>, <ServerHasAgent(server_id=48, agent_id=3)>]
2025-09-04 14:59:02,933 - agents.agent_manager - INFO - [<ServerHasAgent(server_id=49, agent_id=2)>, <ServerHasAgent(server_id=49, agent_id=5)>, <ServerHasAgent(server_id=49, agent_id=3)>]
